Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,38.380001,38.389999,38.259998,38.351002,38.351002,1200
2023-09-05,38.296001,38.299999,38.250000,38.250000,38.250000,2600
2023-09-06,37.970001,38.020000,37.900002,38.007000,38.007000,5800
2023-09-07,37.813000,37.970001,37.813000,37.970001,37.970001,1300
2023-09-08,38.049999,38.049999,37.957001,37.957001,37.957001,5700
2023-09-11,38.110001,38.180000,38.080002,38.168999,38.168999,1200
2023-09-12,38.070000,38.150002,38.014000,38.014000,38.014000,7300
2023-09-13,38.099998,38.099998,38.009998,38.066002,38.066002,3500
2023-09-14,38.200001,38.355000,38.200001,38.327000,38.327000,2400
2023-09-15,38.250000,38.250000,37.942001,37.948002,37.948002,3600
2023-09-18,37.965000,37.965000,37.959999,37.964001,37.964001,1100
2023-09-19,37.810001,37.939999,37.810001,37.902000,37.902000,27000
2023-09-20,37.930000,37.930000,37.626999,37.626999,37.626999,2900
2023-09-21,37.169998,37.169998,37.053001,37.053001,37.053001,1500
2023-09-22,37.145000,37.270000,36.977001,36.977001,36.977001,2100
2023-09-25,37.000000,37.101002,37.000000,37.101002,37.101002,5900
2023-09-26,36.750000,36.830002,36.619999,36.647999,36.647999,7400
2023-09-27,36.770000,36.770000,36.464001,36.631001,36.631001,10800
2023-09-28,36.669998,36.910000,36.669998,36.810001,36.810001,34100
2023-09-29,37.040001,37.044998,36.669998,36.741001,36.741001,4000
2023-10-02,36.740002,36.764999,36.529999,36.764999,36.764999,22900
2023-10-03,36.560001,36.560101,36.230000,36.287998,36.287998,3232
